;Con;Contp;PP;Reg;AgtId;Agt;Dat;Status;Lgt;N_characters;Agtp;Stage;StageSub;ThrdPart;OthAgr;Loc1ISO;Loc2ISO;UcdpCon;UcdpAgr;CowWar;GeWom;GeMe;GeMeOth;GeSo;GeLgbti;GeFa;HrGen;EqGen;HrDem;Prot;HrFra;HrCp;HrNi;HrMob;HrMob;HrDet;Med;HrCit
10;Afghanistan;Government;2.0;Europe and Eurasia;705;Declaration of the International Conference in Support of Afghanistan (Paris Conference);2008-06-12;Multiparty signed/agreed;3;8807;InterIntra;Imp;ExtSub;Not signed, agreement mentions the following parties as having chaired: The Secretary-General of the United Nations ;"Page 1, Paragraph 2
...
We reaffirm that the Afghanistan Compact remains the agreed basis for our work. 

Page 1, Paragraph 3
We welcome the Review of the Afghanistan Compact prepared by the Joint Coordination and Monitoring Board co-chairs, which underlines the significant progress that has been made, most notably in health and education, in infrastructure and economic growth, as well as in building stronger Afghan national security forces. 

Page 3, Paragraph 7
...
We have reaffirmed our determination to fulfill the vision of a democratic, peaceful, pluralistic, and prosperous state based on the principles of Islam, as set out in the Bonn Agreement in 2001 and in the Afghanistan Compact of 2006.";AFG;;333;;225.0;1;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;1
11;Afghanistan;Government;2.0;Europe and Eurasia;1069;Rome Conference on Justice and Rule of Law in Afghanistan;2007-07-03;Multiparty signed/agreed;1;3231;InterIntra;Imp;ImpMod;;"Page 1, Paragraph 3
Within the framework of the Afghanistan Compact, the vision of “Justice for all” and the Afghanistan National Development Strategy, the Government has committed itself to finalize a national justice sector strategy and to implement a comprehensive rule of law reform  with the assistance of the international community that has pledged significant support.

Page 1, Paragraph 7
Finally, the Conference agreed on the next steps as foreseen by the Conference Joint Recommendations, including the elaboration, by October 2007, of a Justice Sector Strategy followed by the National Justice Program supported by an implementation plan by the Government and donors to be developed within the ANDS process that will be presented in a meeting in Kabul, in order to link the programs with the commitments expressed and the recommendations adopted in Rome. ";AFG;;333;;225.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12;Afghanistan;Government;2.0;Europe and Eurasia;1061;Afghanistan Compact Building on Success (London Conference);2006-02-01;Multiparty signed/agreed;17;39498;InterIntra;SubPar;MultIss;"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia
";"Page 2, Untitled Preamble 
...
Affirming their shared commitment to continue, in the spirit of the Bonn, Tokyo and Berlin conferences, to work toward a stable and prosperous Afghanistan
...
Noting the full implementation of the Bonn Agreement through the adoption of a new constitution in January 2004

Page 14, Annex II. Improving the Effectiveness of Aid to Afghanistan
...
the Paris Declaration on Aid Effectiveness (2005) ";AFG;;333;;225.0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1
13;Afghanistan;Government;2.0;Europe and Eurasia;1054;Berlin Declaration (Berlin Conference);2004-04-01;Multiparty signed/agreed;3;7634;InterIntra;Imp;ExtSub;;"Page 1, Untitled Preamble
...
Noting with satisfaction the substantial progress achieved under the Bonn Agreement of December 2001 in fostering peace, stability, national unity, democratization, and economic development in Afghanistan

Page 1, Untitled Preamble 
...
Welcoming the contributions and pledges towards Afghanistan’s reconstruction and reform programs made by countries at the Tokyo Conference of January 2002

Page 2, Untitled Preamble
...
Determined to complete the Bonn Process by creating the conditions under which the people of Afghanistan can freely determine their own political future by establishing a fully representative government through free and fair elections in a secure and peaceful environment
...
Determined to continue, in the spirit of the Bonn Agreement, as a common endeavor [sic] of the Afghan people and the international community

Page 3, 3
Welcome the further steps made by Afghanistan and its neighbors [sic] to foster regional cooperation under the auspices of the Kabul Declaration on Good Neighbourly Relations from December 22, 2002, in particular, the Declaration on Counter-Narcotics annexed  herewith 

Page 3, Untitled Article
Reform on the basis that Afghanistan and the international community shall continue to sustain a lasting partnership for the future, which will allow Afghanistan to complete the transition process begun with the Bonn Agreement";AFG;;333;;225.0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;2
14;Afghanistan;Government;2.0;Europe and Eurasia;909;Kabul Declaration of Good Neighbourly Relations;2002-12-24;Multiparty signed/agreed;1;1690;InterIntra;SubPar;MultIss;;Bonn agreement;AFG;;333;;225.0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
15;Afghanistan;Government;2.0;Europe and Eurasia;908;Communiqué of the International Conference on Reconstruction Assistance to Afghanistan (Tokyo Conference);2002-01-22;Multiparty signed/agreed;5;10729;InterIntra;Imp;ImpMod;"Not signed, agreement mentions the following parties as having attended: H.E. Mr. Junichiro Koizumi, Prime Minister of Japan; H.E. Mr. Kofi Annan, UN Secretary General. ";"Page 1, Article 2
The Conference provided the Afghan Interim Authority (AIA) an opportunity to reaffirm its determination to pursue the process of reconciliation, reconstruction and development of Afghanistan, according to the Bonn Agreement

Page 1, Article 6
The Conference stressed the importance of implementation of the Bonn process including the time frame set in the Agreement. Assistance will be conditional on all Afghan parties positively contributing to the process and goals agreed in Bonn... ";AFG;;333;;225.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;Afghanistan;Government;2.0;Europe and Eurasia;272;Agreement on Provisional Arrangements in Afghanistan Pending the Re-establishment of Permanent Government Institutions ('Bonn Agreement');2001-12-05;Multiparty signed/agreed;13;23377;Intra;SubPar;MultIss;Agreement witnessed for the United Nations by: Mr. Lakhdar Brahimi, Special Representative of the Secretary-General for Afghanistan;"Page 7, V. Final provisions, 5
All actions taken by the Interim Authority shall be consistent with Security Council resolution 1378 (14 November 2001) and other relevant Security Council resolutions relating to Afghanistan.";AFG;;333;;225.0;1;0;0;0;0;1;1;1;1;0;0;0;2;0;0;0;0;0
17;Afghanistan;Government;2.0;Europe and Eurasia;553;Tashkent Declaration on Fundamental Principles for a Peaceful Settlement of the Conflict in Afghanistan;1999-07-19;Multiparty signed/agreed;5;8371;InterIntra;Pre;Proc;The agreement refers to the participation of the Special Envoy of the United Nations Secretary-General for Afghanistan, Mr. Lakhdar Brahimi. ;;AFG;;333;;851.0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0
18;Afghanistan;Government;1.0;Europe and Eurasia;409;Afghan Peace Accord (Islamabad Accord);1993-03-07;Multiparty signed/agreed;7;10644;Intra;SubPar;MultIss;;;AFG;;333;1128.0;851.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
19;Afghanistan;Government;1.0;Europe and Eurasia;482;Peshawar Accord;1992-04-24;Multiparty signed/agreed;2;2434;Intra;SubPar;Iss;;;AFG;;333;1565.0;851.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Afghanistan;Territory;2.0;Cross-regional;1070;Joint Declaration adopted by Pak-Afghan Joint Peace Jirga;2007-08-12;Multiparty signed/agreed;2;3530;InterIntra;SubPar;MultIss;;;AFG;PAK;333;;225.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Algeria;Government;3.0;Middle East and North Africa;1595;Project de charte pour la paix et la réconciliation nationale;2005-08-14;Unilateral document;6;31542;Intra;SubPar;MultIss;;- Declaration of November 1954 ;DZA;;386;;875.0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0
22;Algeria;Government;3.0;Middle East and North Africa;1738;Texts for Implementing Acts relating to the Restoration of Civil Harmony;1999-07-20;Unilateral document;8;20128;Intra;Imp;ImpMod;;;DZA;;386;;875.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;Algeria;Government;3.0;Middle East and North Africa;1737;Civil Harmony Act;1999-07-13;Unilateral document;7;17090;Intra;SubPar;Iss;;;DZA;;386;;875.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
24;Algeria;Government;3.0;Middle East and North Africa;1255;Plate-forme de l'entente nationale;1996-09-17;Multiparty signed/agreed;9;25404;Intra;SubPar;Iss;;- principles of November 1st, 1954  ;DZA;;386;;875.0;1;0;0;0;0;0;1;1;3;2;2;1;0;0;0;0;1;0
25;Algeria;Government;3.0;Middle East and North Africa;1044;Plate-forme pour une solution politique et pacifique de la crise algérienne (Plate-forme de Rome);1995-01-13;Multiparty signed/agreed;4;7534;Intra;Pre;Prin;;"- The declaration of November 1, 1954: “The restoration of the sovereign democratic Algerian state governed by the principles of Islam (article 1)”;
";DZA;;386;;875.0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;2;0
26;Algeria;Government;3.0;Middle East and North Africa;484;Plate-forme portant consensus national sur la période transitoire;1994-01-26;Multiparty signed/agreed;12;24372;Intra;Pre;Prin;;;DZA;;386;;875.0;0;0;0;0;0;0;1;2;3;0;1;0;0;0;0;0;3;1
27;Angola;Government;4.0;Africa (excl MENA);978;Luena Memorandum of Understanding (Addendum to the Lusaka Protocol for the Cessation of Hostilities and the Resolution of the Outstanding Military Issues under the Lusaka Protocol);2002-04-04;Multiparty signed/agreed;65;45258;Intra;SubPar;Iss;"ONU
IBRAHIM GAMBARI
UNDERSECRETARY GENERAL OF THE UN
AND SPECIAL ADVISOR FOR AFRICA
FOR THE OBSERVER COUNTRIES TO THE ANGOLAN PEACE PROCESS
CHRISTOPHER WILLIAM DELL
AMBASSADOR OF THE UNITED STATES OF AMERICA IN ANGOLA
ANDREEV SERGUEI VADIMOVICH
AMBASSADOR OF THE RUSSIAN FEDERATION IN ANGOLA
FERNANDO MENDONÇA D'OLIVEIRA NEVES
AMBASSADOR OF THE PORTUGUESE REPUBLIC IN ANGOLA";"Taking into account the Lusaka Protocol, signed 20 November 1994; ";AGO;;327;1126.0;907.0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
28;Angola;Government;4.0;Africa (excl MENA);305;Angolan Government's Peace Plan;2002-03-13;Multiparty signed/agreed;3;7584;Intra;Imp;ImpOth;;"[Summary: agreement in its entirety emphasises the need to respect the Bicesse Accords, Lusaka Protocol and United Nations Security Council resolutions on Angola]

Page 1,
... In order to achieve peace, the government has set out an agenda that necessarily involves the solution of all military issues resulting from the armed conflict that started after the formation of the Angolan Armed Forces, in accordance with the Bicesse Accords and the Lusaka Protocol.";AGO;;327;;907.0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1
29;Angola;Government;4.0;Africa (excl MENA);299;Agreement signed by the Government of the Republic of Angola and UNITA Renovada on 18 February 1999(Annex II to Agreement signed by the Government of the Republic of Angola and UNITA Renovada (Luanda Protocol));1999-02-18;Multiparty signed/agreed;2;2894;Intra;Imp;ExtSub;;"Page 1, Annex II, Untitled Preamble
The Lusaka Protocol, signed by the Government and UNITA, aims at fostering true reconciliation among the Angolan people, to be translated into unity, democracy and reconstruction and development of the country.

Page 1, Annex II, Untitled Preamble
... In that sense the creation of the GURN and the Incorporation of the members of UNITA into their parliamentary saats^ were important steps towards national reconciliation. These steps were taken by the signatories of the Lusaka Protocol, with due respect for the Constitution and the laws, the Peace Agreements and its respective Protocol as well as all other international principles relative tot he consolidation of the Peace Process.

Page 1, Annex II, Untitled Preamble
... Savimbi, who once again has chosen the use of force, in total violation of the agreed principles. As a result of this behavior, he was unseated from the leadership of the party, during UNITA's IX Congress held from 11 to 15 January 1999 in Luanda.

Page 1, Annex II, Untitled Preamble
... The new UNITA leadership is thereby considered the only valid interlocutor for the continuation of the implementation of the Lusaka Protocol, which it accepts and pledges to support

Page 1, Annex II, Untitled Preamble
... Thus, given the need for both the Government and UNITA to comply with its terms in what has to do with the normalization of the administration of the state over the whole of the national territory, with due respect to the constitution and the principles enshrined in the Lusaka Protocol.";AGO;;327;;907.0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
30;Angola;Government;4.0;Africa (excl MENA);300;Agreement with UNITA-Renovada Updating the Lusaka Protocol Concerning the Appointment of UNITA Cadres to Government Positions (Annex III to Agreement signed by the Government of the Republic of Angola and UNITA Renovada (Luanda Protocol));1999-02-18;Multiparty signed/agreed;2;3614;Intra;Pre;PreMix;;"Page 1, Annex III
Although the electoral law established the principles for the holding of the second round in tfie presidential election, the Lusaka Protocol, which is the juridical and political element that regulates the Angolan Peace Process, establishes in it, Annex 7, that the elections should take place as soon as military, political, material and security conditions allow it, that is to say:

Page 2, Annex III
... a) Point II.5, Annex 7, of the work agenda of the Lusaka Protocol relative to the conclusion of the electoral process is considered concluded;";AGO;;327;;907.0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;2
31;Angola;Government;4.0;Africa (excl MENA);301;Agreement with UNITA-Renovada Updating the Lusaka Protocol Concerning the Reinstatement of Government Administration over the National Territory (Luanda Protocol);1999-02-18;Multiparty signed/agreed;2;2894;Intra;Pre;;;"Page 1,
The Protocol of Lusaka, signed by the Government and UNITA, aims at fostering true reconciliation among the Angolan people, to be translated into unity, democracy and reconstruction and development for the country;";AGO;;327;;907.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
32;Angola;Government;4.0;Africa (excl MENA);1;Final Timetable for the Implementation of the Lusaka Protocol, Approved by the Joint Commission at Luanda, 9 January 1998;1998-01-09;Multiparty signed/agreed;2;2756;Intra;Imp;ImpMod;;;AGO;;327;;907.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
33;Angola;Government;4.0;Africa (excl MENA);439;Lusaka Protocol;1994-11-15;Multiparty signed/agreed;66;138110;Intra;SubComp;FrAg;"UN- mediators, represented by SRSG to Angola (initialled at the same time as the parties initialled the agreement); US, Russia, Portugal (observer states)

For the United Nations Organization, Alioune Blondin Beye, Special Representative of the Secretary-General of the United Nations in Angola;";"Page 4, ANNEX 1, AGENDA OF THE ANGOLA PEACE TALKS BETWEEN THE GOVERNMENT AND UNITA
I. Reaffirmation of the acceptance by the Government and by UNITA of the relevant legal instruments:
1. The ""Acordos de Paz""
2. Security Council Resolutions.
II. Continuation of the implementation of the ""Acordos de Paz"" and completion of the work of the Abidjan talks:

Page 6, [Letter from Fernando Faustino Muteka, head of the Angolan Government Delegation,  to the UN Special Representative]
The Government of the Republic of Angola also reaffirms its unequivocal acceptance of the resolutions of the United Nations Security Council relating to the post-electoral conflict, ¡n particular, resolutions 804, of 29 January 1993; Ml I. of 12 March 1993; S23, of 30 April 1993; S34, of I June 1993; S51, of 14 July 1993 and 864, of 15 September 1993.

Page 7, [Letter, signed 'Dembo'] 
UNITA'S POSITION ON ITEM I.I OF THE LUSAKA-II AGENDA: 
UNITA reaffirms the validity of the ""Acordos de Paz para Angola"" as the basis for peace in Angola.
Taking into consideration the current situation of our country and the imperatives of peace, the ""Acordos de Paz para Angola"" must be updated.

Page 7, [Letter, signed 'Dembo']
UNITA'S POSITION ON ITEM 1.2 OF THE LUSAKA-II AGENDA:
UNITA reaffirms that it has taken good note of the Security Council resolutions relating to the Angolan crisis, particularly resolution N64W, as indicated in our letter dated 30 October 1993 addressed to His Excellency. Dr. Boutros Boutros Ghali, Secretary General of the UN.

Page 47, ANNEX 8, II.3 THE UNITED NATIONS MANDATE, THE ROLE OF THE OBSERVERS OF THE ""ACORDOZ DE PAZ"" AND THE JOINT COMMISSION, A. THE UNITED NATIONS MANDATE, I. GENERAL PRINCIPLES
1. The Government of the Republic of Angola (the Government) and the National Union for the Total Independence of Angola (UNITA) reaffirm their commitment to respect and implement the ""Acordos de Paz para Angola"" (Bicesse), the relevant resolutions of the United Nations Security Council and the Lusaka Protocol.
2. The Government and UNITA recognize that the successful completion of the peace process within the framework of the ""Acordos de Paz para Angola"" (Bicesse). the relevant resolutions of the United Nations Security Council and the Lusaka Protocol is, first and foremost, their own responsibility, and undertake to cooperate fully and in good faith with the United Nations, with a view to the effective and sustained implementation of the peace process.";AGO;;327;1023.0;880.0;0;0;0;0;0;1;1;3;2;0;1;1;0;1;1;0;3;2
34;Angola;Government;4.0;Africa (excl MENA);1318;Concepts for Resolving the Issues Still Pending between the Government of the People's Republic of Angola and UNITA (Bicesse Accords);1993-05-31;Multiparty signed/agreed;1;2798;Intra;SubPar;FrparOth;;;AGO;;327;;880.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
35;Angola;Government;4.0;Africa (excl MENA);207;Peace Accords for Angola, Lisbon ('Bicesse Accords');1991-05-31;Multiparty signed/agreed;2;2283;Intra;SubPar;FrparOth;Portugal (mediator), US, USSR (observers) [apparently not signatories];"Page 1, Enclosure, Peace Accords for Angola
The Government of the People's Republic of Angola and the National Union for the Total Independence of Angola (UNITA), with mediation by the Government of Portugal and the participation of observers from the governments of the United States of America and the Union of Soviet Socialist Republics, Accept as binding the following documents, which constitute the Peace Accords for Angola;
(a) The cease-fire agreement (including annexes I and II thereto) [see attachment I];
(b) Fundamental principles for the establishment of peace in Angola (including the annex thereto regarding the Joint Political-Military Commission) [see attachment II];
(c) Concepts for resolving the issues still pending between the Government of the People's Republic of Angola and UNITA [see attachment III];
(d) The Protocol of Estoril [see attachment IV].";AGO;;327;1022.0;804.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;Angola;Government;4.0;Africa (excl MENA);1316;Ceasefire Agreement (Bicesse Accords);1991-05-31;Multiparty signed/agreed;12;76149;Intra;Cea;Ceas;Apolinario CORREIA, Charge d'affaires a.i.;;AGO;;327;;880.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0
